Cell_Type	TF/DNase/HM	Treatment	DeepSEA_auROC	DanQ_auROC	DanQ-JASPAR_auROC	ChromDL_auROC	DeepSEA_auPRC	DanQ_auPRC	DanQ-JASPAR_auPRC	ChromDL_auPRC
A549	USF1	DEX_100nM	0.945060376	0.9537281917	0.9602748636	0.967484706468041	0.2417131675	0.2813411332	0.2900766955	0.30892806674320056
A549	USF1	EtOH_0.02pct	0.96826118	0.9728937341	0.9766374594	0.9808655898509523	0.3306685763	0.3800210921	0.3865999797	0.40004564762627143
A549	USF1	EtOH_0.02pct	0.930509026	0.946998574	0.9531375752	0.9638717156424511	0.2453563413	0.3077332024	0.3166876439	0.3446349474537651
A549	YY1	EtOH_0.02pct	0.94125701	0.9494180942	0.9504524644	0.9602435579246363	0.3178900159	0.334962954	0.3384931077	0.37197890822015733
A549	ZBTB33	EtOH_0.02pct	0.91312342	0.9265630838	0.9302141958	0.9420825272243315	0.1468035717	0.1915081846	0.2063157408	0.2519715864166232
ECC-1	CTCF	DMSO_0.02pct	0.994901971	0.9958435791	0.9959950236	0.9964313184595771	0.7529076808	0.7823943699	0.7909016603	0.7950623686361391
ECC-1	ERalpha	BPA_100nM	0.878895275	0.8897221839	0.9184460837	0.9513538407636788	0.0273335519	0.0379383794	0.0648413315	0.14017095180446326
ECC-1	ERalpha	Estradiol_10nM	0.854146372	0.86106586	0.8956970883	0.9331887489235795	0.0740760624	0.0863007771	0.135406221	0.22135456689825891
ECC-1	ERalpha	Genistein_100nM	0.8639426	0.8739236752	0.9064942098	0.9394830684529578	0.0647234055	0.086265127	0.1272227789	0.19916548126695433
ECC-1	FOXA1	DMSO_0.02pct	0.920940703	0.931902483	0.9385456568	0.9657166653191792	0.0697933009	0.0884958054	0.090638139	0.16026566749366145
ECC-1	GR	DEX_100nM	0.875242027	0.8963543857	0.930369757	0.955971614473721	0.0587697101	0.0700206789	0.1102768402	0.17393008390697462
ECC-1	Pol2	DMSO_0.02pct	0.970602594	0.9726180948	0.9712892904	0.973770368147107	0.5920347998	0.6154780478	0.6154882772	0.6154468388089516
GM12878	ATF2	None	0.908166107	0.9132904078	0.9230021295	0.935009367939501	0.2241970281	0.2421655478	0.2673604307	0.2992131351440998
GM12878	ATF3	None	0.971901032	0.9866986273	0.9878185074	0.9943128111650333	0.2339069125	0.3313722512	0.3271799542	0.3324242051326486
GM12878	BATF	None	0.932021719	0.9430773707	0.946920663	0.9633021816296577	0.2294284351	0.2767155166	0.2861975225	0.39000562394077865
GM12878	BCL11A	None	0.942711195	0.9468372534	0.9527767026	0.9622922363784712	0.1762335988	0.1935423413	0.2137608637	0.26163295555616495
GM12878	BCL3	None	0.904599574	0.9108492771	0.9124129072	0.9143237190342827	0.1674409144	0.1900477246	0.1924355171	0.19805307451634077
GM12878	BCLAF1	None	0.958378312	0.9580874208	0.9615134541	0.9617043792799695	0.1373245399	0.1724751132	0.1659944502	0.16837296968923493
GM12878	CEBPB	None	0.917012442	0.9226003818	0.930790745	0.9384810365496139	0.1024498692	0.1287914315	0.1563126712	0.1778411997104116
GM12878	EBF1	None	0.903966501	0.9302351346	0.9337608469	0.9472662239794493	0.1808819955	0.2410076858	0.2487389752	0.31493786947408137
GM12878	Egr-1	None	0.968068142	0.9701509225	0.971402839	0.9823515341369143	0.2555446054	0.2900144575	0.3065526201	0.3823930693013796
GM12878	ELF1	None	0.971719081	0.9749631323	0.9765481283	0.9783877236056192	0.4803459136	0.5150997706	0.5157658868	0.5240082805020139
GM12878	ETS1	None	0.985629811	0.9833999229	0.9795323406	0.9845905377728842	0.2598804586	0.31586556	0.3121810976	0.35472096977041373
GM12878	FOXM1	None	0.907992477	0.9146737698	0.9234702959	0.9319957440936253	0.2021063255	0.2239470419	0.2425029589	0.26104637474595876
GM12878	GABP	None	0.987640089	0.9887693347	0.9895853063	0.9901256407305317	0.5211708004	0.5879808903	0.5792690335	0.6061968132149982
GM12878	IRF4	None	0.93451815	0.9449396806	0.9463605124	0.9587352573118811	0.175851082	0.2088054602	0.214229064	0.27068762936564145
GM12878	MEF2A	None	0.929263022	0.9277432118	0.9471411277	0.9607299279067237	0.1542119377	0.1610140019	0.2034633346	0.27820596477946463
GM12878	MEF2C	None	0.935128543	0.9278796573	0.9542268994	0.9679207473791894	0.0957349301	0.1017272794	0.1596416237	0.228927598675145
GM12878	MTA3	None	0.899905648	0.905764824	0.9149004494	0.9191475303759435	0.1468437541	0.1673900592	0.1855909428	0.19722155768352256
GM12878	NFATC1	None	0.89701768	0.9030247151	0.9105011561	0.9152758044967074	0.1668825727	0.1920175472	0.2002772131	0.2099323810058593
GM12878	NFIC	None	0.900132328	0.9049927131	0.9151011751	0.9281274353866216	0.2451126828	0.2654825617	0.2943599712	0.3338890613782427
GM12878	NRSF	None	0.972767885	0.956573419	0.962673382	0.9839373138910478	0.4367634119	0.4476968191	0.4522332143	0.5584520316465863
GM12878	p300	None	0.958002113	0.9593558777	0.9636630109	0.9701687471286506	0.111535973	0.1289293905	0.1591332532	0.16554394718454438
GM12878	PAX5-C20	None	0.900678121	0.9061810605	0.9293936559	0.9516654255434156	0.164839885	0.18788587	0.226109771	0.27790227881084195
GM12878	PAX5-N19	None	0.915295958	0.9201533587	0.9381133297	0.9526787403663557	0.1697664153	0.1733422745	0.2096374694	0.25790781451762923
GM12878	Pbx3	None	0.931529498	0.9335511308	0.9399893473	0.9486532380271757	0.1118729229	0.1190741396	0.1311465655	0.1337201500609024
GM12878	PML	None	0.926881395	0.9328674616	0.9370142756	0.9426814342206096	0.3131697665	0.3492676138	0.3643677193	0.3683230819341863
GM12878	Pol2-4H8	None	0.892877934	0.8991389796	0.9006586914	0.8988365598629537	0.3619131875	0.3853461261	0.3907466247	0.3852414601033637
GM12878	Pol2	None	0.95735067	0.9597579012	0.9589542133	0.9599714777119264	0.5921757818	0.6093626208	0.6068627917	0.6030530713477548
GM12878	POU2F2	None	0.925661202	0.9230673756	0.93713417	0.948841068214941	0.1980847371	0.2117357157	0.2367415244	0.2690771081193007
GM12878	PU.1	None	0.963193627	0.9632249064	0.9651372034	0.978162869272695	0.4391917679	0.4559983592	0.4698004437	0.5641199016154242
GM12878	Rad21	None	0.980068363	0.9827949116	0.9848205415	0.9864005229712655	0.5819218297	0.6097084983	0.6241192752	0.6217624280808753
GM12878	RUNX3	None	0.918940734	0.9218221875	0.9298618877	0.9374216303288085	0.3849156092	0.3970460566	0.4205824127	0.4542655772836032
GM12878	RXRA	None	0.975478372	0.9724747877	0.9770622257	0.9828461493158254	0.0232369252	0.0564727959	0.0507670433	0.056598242448406735
GM12878	SIX5	None	0.990721252	0.992780882	0.9913390725	0.9930171791213984	0.4757663138	0.6106198874	0.5944140419	0.6510613981325766
GM12878	SP1	None	0.955073265	0.9578227053	0.9608520834	0.9658261586740662	0.3273311996	0.3505493266	0.36548824	0.382091359737796
GM12878	SRF	None	0.926471266	0.9293669359	0.9376433201	0.9631591194586899	0.1406488061	0.1697369901	0.1733029038	0.20284244141021449
GM12878	STAT5A	None	0.900454995	0.907508557	0.9103818673	0.9205699688019798	0.1029319524	0.1253718151	0.1337787033	0.13795019873629835
GM12878	TAF1	None	0.962067709	0.9637928771	0.9655038861	0.9684346783236241	0.3601003837	0.3909275947	0.4040592957	0.394442440096455
GM12878	TCF12	None	0.948741631	0.9549397194	0.9588437906	0.9635411309809918	0.2004203585	0.2299460069	0.2457627546	0.26974848973801546
GM12878	TCF3	None	0.947997051	0.9536777309	0.9565741271	0.9601856079636839	0.1801572105	0.2149013197	0.2367071382	0.2510823743895949
GM12878	USF1	None	0.982516349	0.9836420692	0.985332868	0.9871694154434194	0.3839730223	0.3952286217	0.4087156953	0.42993079107521265
GM12878	YY1	None	0.952042593	0.9568501278	0.9578263334	0.9650833843350035	0.4037606453	0.4406802525	0.4479567735	0.456349034985642
GM12878	ZBTB33	None	0.969481667	0.9764611998	0.9791643545	0.9852190526587365	0.0673206715	0.1074382609	0.124612115	0.29313153891940646
GM12878	ZEB1	None	0.966827784	0.9716692832	0.9714642484	0.9737103361219354	0.1700890536	0.190417269	0.1793707361	0.1794444629463293
GM12891	PAX5-C20	None	0.917241364	0.9243967329	0.9522438548	0.9693746141330833	0.0262350127	0.0322873569	0.0514225548	0.08820628940161704
GM12891	Pol2-4H8	None	0.90092174	0.9065664386	0.9056351305	0.9073925929629404	0.3018536691	0.3173007247	0.3269424868	0.3214717147562069
GM12891	Pol2	None	0.909010551	0.9152013441	0.9132158071	0.9182177029697517	0.3311246319	0.3467490723	0.3526225559	0.3549827936812511
GM12891	POU2F2	None	0.930523887	0.9285544421	0.9432047351	0.9515672567854776	0.1549935461	0.174399278	0.1979373849	0.21970092319030368
GM12891	PU.1	None	0.963082388	0.9639820871	0.9666167458	0.9779714510007492	0.4391877037	0.4623438539	0.4796264808	0.5722751493929004
GM12891	TAF1	None	0.963908335	0.9653858419	0.9665571923	0.9694521614066047	0.3581434308	0.3883551495	0.3970420846	0.40360233142014346
GM12891	YY1	None	0.966720448	0.9713125527	0.9707997484	0.9780372569629243	0.3703016666	0.4097398753	0.4025665874	0.42914005818105333
GM12892	PAX5-C20	None	0.951680706	0.9547420635	0.9686877489	0.9769116088051626	0.2677825365	0.2806027906	0.3055286255	0.31063104419949555
GM12892	Pol2-4H8	None	0.899228266	0.906943281	0.9068974691	0.9079797253371624	0.3082094965	0.3341591964	0.3377448163	0.33531879577430257
GM12892	Pol2	None	0.930859483	0.9353026743	0.9344052442	0.9340413725331004	0.4493677779	0.4783926554	0.4780984708	0.47770736528627655
GM12892	TAF1	None	0.970675427	0.9737780927	0.9750309546	0.9752643921574221	0.3888536642	0.4187896969	0.4405132202	0.4199983301444156
GM12892	YY1	None	0.954630578	0.9619970517	0.9589830655	0.9713327416536142	0.3429711745	0.3750428505	0.3683852164	0.4061235427669232
H1-hESC	ATF2	None	0.914795823	0.9368482221	0.9449290507	0.9505889495142366	0.11430116	0.1460018314	0.1548320541	0.1887224284987246
H1-hESC	ATF3	None	0.982504366	0.9869583832	0.9879195085	0.9903654893967139	0.2733466691	0.3494076266	0.3513156571	0.382248672709207
H1-hESC	BCL11A	None	0.940037271	0.9561607131	0.9671266945	0.9801382087484894	0.0673760091	0.1063478549	0.1542592364	0.1871894448351468
H1-hESC	CTCF	None	0.983673756	0.9866620088	0.9878663054	0.9901042722668653	0.5912212261	0.6318271747	0.6441338247	0.6609147725445969
H1-hESC	Egr-1	None	0.953604242	0.9597357964	0.9624300411	0.9688433388248261	0.1623174572	0.184926903	0.1823215617	0.23286196115112345
H1-hESC	FOSL1	None	0.937050394	0.9395333561	0.9414613865	0.9446913044725557	0.0258085095	0.025401472	0.0290483918	0.049432719146007685
H1-hESC	GABP	None	0.98281473	0.9864028797	0.9855950259	0.9871582953446875	0.3442922395	0.3880918685	0.3931281162	0.40246192597556857
H1-hESC	HDAC2	None	0.948779038	0.9586092875	0.9680401901	0.9732736635996818	0.0668142747	0.1008334063	0.1175927477	0.12212062155528328
H1-hESC	JunD	None	0.957098716	0.9642650237	0.968462805	0.9735617890129673	0.1668331466	0.2118655214	0.2230956277	0.25252608414986116
H1-hESC	NANOG	None	0.930438563	0.9415615003	0.9620653198	0.9685064490355252	0.0738693862	0.1100891083	0.1667331474	0.1816632442417735
H1-hESC	NRSF	None	0.952885124	0.922498624	0.9326753672	0.9710538297999212	0.4428276858	0.370143416	0.4009775729	0.5797226207084664
H1-hESC	p300	None	0.940837667	0.9532142954	0.9636637423	0.9671998175281399	0.1360969316	0.176543707	0.2023147669	0.21873903467296324
H1-hESC	Pol2-4H8	None	0.90698199	0.9140409662	0.9175040938	0.9215715474449855	0.3089698853	0.3239217936	0.3255906285	0.3309188602725003
H1-hESC	Pol2	None	0.936257213	0.9429938763	0.9447009015	0.950429239061044	0.4972371445	0.5105718007	0.5118825048	0.5108908214453787
H1-hESC	POU5F1	None	0.94708764	0.9527541485	0.9699815165	0.9797090337129624	0.1012301303	0.1497462237	0.2359797116	0.30444009217940454
H1-hESC	Rad21	None	0.974008375	0.9795066112	0.9819361964	0.9838893705085521	0.6624543612	0.7029845522	0.7138230725	0.7307428197066739
H1-hESC	RXRA	None	0.956119035	0.9684214011	0.9720137373	0.9785024924338138	0.0195073535	0.0293180491	0.0313414463	0.059029443370679544
H1-hESC	Sin3Ak-20	None	0.957022324	0.9638000606	0.9695904431	0.9724318710309353	0.2032544779	0.2286356348	0.2366071726	0.262902203849341
H1-hESC	SIX5	None	0.955924198	0.9723195295	0.9718700506	0.981620808447852	0.2870435449	0.469140595	0.4408596668	0.5279905438935214
H1-hESC	SP1	None	0.93694478	0.9468154701	0.9532997302	0.9630667288089224	0.233113743	0.2762345923	0.2975049915	0.3364326614185876
H1-hESC	SP2	None	0.971738645	0.9683538751	0.9695642634	0.9768313617762769	0.2276379997	0.2826467581	0.2642805945	0.2892192690561114
H1-hESC	SP4	None	0.974701339	0.9757572735	0.9779733446	0.9798126684872281	0.2883646038	0.3119982721	0.3121792138	0.3093859841333489
H1-hESC	SRF	None	0.874915349	0.8896656717	0.8917022173	0.9634453315976197	0.0793087334	0.1132099945	0.1117309073	0.3082431875111421
H1-hESC	TAF1	None	0.975171221	0.9786042729	0.9796099719	0.981420198123401	0.5247012617	0.5449373105	0.5520732027	0.5508952005815874
H1-hESC	TAF7	None	0.958718248	0.9651535151	0.9677382445	0.9671470051576606	0.316933269	0.3495375822	0.356294002	0.34922833326119307
H1-hESC	TCF12	None	0.94269021	0.9543157436	0.9646693752	0.9680391324284205	0.1138852714	0.1692861124	0.2151014137	0.21941468385729657
H1-hESC	TEAD4	None	0.946155967	0.9546726682	0.9583895647	0.9729333033798025	0.2208444389	0.2674330015	0.2751128757	0.37669892402847527
H1-hESC	USF1	None	0.976938955	0.9786663234	0.9825068289	0.9867049475783162	0.44260659	0.4875125505	0.5059860099	0.5602018664805432
H1-hESC	YY1	None	0.955840635	0.9630946657	0.9661859932	0.9754050619072457	0.3197877876	0.360491089	0.3514997523	0.41594787853567944
HCT-116	Pol2-4H8	None	0.904003718	0.9135019835	0.9152648306	0.9198258601712895	0.4208146406	0.4479476946	0.4492155244	0.45230175382013704
HCT-116	YY1	None	0.966481725	0.968814438	0.9696686704	0.9737971220915835	0.3088576714	0.3528384273	0.3451717667	0.3634785123855965
HCT-116	ZBTB33	None	0.961492995	0.9672737402	0.9694169269	0.969945000956458	0.1716541648	0.2045846457	0.2192087617	0.2250706874428764
HeLa-S3	GABP	None	0.982048618	0.9841824284	0.9831439957	0.9854727580887044	0.4157367763	0.4641053124	0.4552553625	0.47183091248852493
HeLa-S3	NRSF	None	0.940969855	0.9170494829	0.9237384739	0.9675497108311846	0.3570522259	0.3466580641	0.3540489934	0.5004165034402803
HeLa-S3	Pol2	None	0.910957167	0.9208174738	0.9195818662	0.9216471932225667	0.4783268376	0.496106993	0.4970863478	0.49740015374676255
HeLa-S3	TAF1	None	0.95272497	0.9571752254	0.9570508226	0.959131276990527	0.3628497046	0.383000623	0.3839948442	0.3791460230122171
HepG2	ATF3	None	0.984173628	0.9853375695	0.986407746	0.9882784775235485	0.2332904948	0.2950734391	0.2867631156	0.3357598128245277
HepG2	BHLHE40	None	0.970076098	0.9726726567	0.97638331	0.9849293865178576	0.1010812133	0.1401786256	0.1478950879	0.1905532345968534
HepG2	CEBPB	None	0.97629226	0.9798983376	0.9830245299	0.9865060205120724	0.2960548151	0.3298919553	0.3579400959	0.38594086570371505
HepG2	CEBPD	None	0.971372911	0.9734531173	0.9752810434	0.9791044106688999	0.1995865581	0.2273294418	0.244530596	0.2575435348780486
HepG2	CTCF	None	0.986842904	0.9894502401	0.9902877165	0.9916358376516503	0.6384822147	0.6682747916	0.6744760844	0.6906092947390792
HepG2	ELF1	None	0.965702763	0.968509434	0.9735853323	0.9771091820398943	0.3580461342	0.3882699188	0.4009475303	0.44296054183356043
HepG2	FOSL2	None	0.95448315	0.9577394921	0.9594462676	0.962941665441728	0.3106102447	0.3281569807	0.3472836878	0.37096077166191255
HepG2	FOXA1	None	0.944196728	0.9479972942	0.955602655	0.9676096883021454	0.3410689103	0.3655986265	0.4002072025	0.4594485883971092
HepG2	FOXA1	None	0.943532165	0.9474185875	0.9559726508	0.9669502155199784	0.3730164239	0.3986251809	0.4430068709	0.501698433840435
HepG2	FOXA2	None	0.943101921	0.9496773275	0.9571483424	0.9668383916355064	0.328173443	0.3550117913	0.392062381	0.4349811947559953
HepG2	GABP	None	0.988331069	0.9889153843	0.989334857	0.9910697097045932	0.5615857258	0.6146950796	0.6134919602	0.6260633129093375
HepG2	HDAC2	None	0.937250962	0.9427759817	0.9545955076	0.9596733633221434	0.1721660298	0.1939871298	0.2275163864	0.25879232630308385
HepG2	HNF4A	None	0.962022049	0.9677974205	0.9724958555	0.9783606905030588	0.2630983553	0.3226134119	0.3389676585	0.38581477360761274
HepG2	HNF4G	None	0.954636203	0.964082586	0.9663509468	0.9735595433340356	0.2526675933	0.3135248965	0.3357531316	0.36659793311746147
HepG2	JunD	None	0.955196962	0.9580064168	0.9611587191	0.9662824234715284	0.2614049025	0.2746839327	0.3004667806	0.3320768429241496
HepG2	MBD4	None	0.916877278	0.9243278149	0.9326562758	0.9382988335997613	0.080176469	0.1018035969	0.1243221058	0.1390208896838271
HepG2	MYBL2	None	0.908103887	0.916692844	0.9291954649	0.9384743163389286	0.1958640078	0.2221842949	0.2472900406	0.2634243562453237
HepG2	NFIC	None	0.908727988	0.9198669882	0.9340149391	0.9452981201072542	0.1669846481	0.2000157659	0.2308869644	0.2734357191277068
HepG2	NRSF	None	0.984887604	0.9730258606	0.9773479201	0.989863218273377	0.4743190962	0.4594240085	0.4814851252	0.5606247564858616
HepG2	NRSF	None	0.953006243	0.952145282	0.9534019969	0.9681497490670394	0.3508334727	0.3997471575	0.4030209028	0.45341475298649103
HepG2	p300	None	0.932979836	0.9334264124	0.9462499317	0.9564701207917946	0.2306318915	0.2441792544	0.2794539026	0.32150053865411266
HepG2	Pol2-4H8	None	0.908404142	0.917114166	0.9212209018	0.9259869762502188	0.3929313058	0.427557353	0.4299585869	0.4312938125035779
HepG2	Pol2	None	0.948906184	0.9520784028	0.9540168787	0.9569760368845974	0.5067501397	0.5304835663	0.536508853	0.5384294583252289
HepG2	Rad21	None	0.976796245	0.9817102762	0.9834068178	0.9853581316046018	0.6041747227	0.6430259741	0.6503722257	0.6630702224598356
HepG2	RXRA	None	0.942017622	0.9439449016	0.9523221354	0.9638012519369605	0.1882529823	0.1931508812	0.2225834428	0.2658844168311958
HepG2	Sin3Ak-20	None	0.950666732	0.9530346247	0.9580219341	0.9599454083931211	0.3145083628	0.3323794457	0.3466209382	0.33715138554053925
HepG2	SP1	None	0.942727504	0.9457528152	0.9567566297	0.9630587711420593	0.2723298678	0.2981141925	0.3376637027	0.3704217000751129
HepG2	SP2	None	0.991742099	0.9764715457	0.9844073894	0.9928023267579361	0.3101412898	0.3469494172	0.3391759718	0.41834453134661576
HepG2	SRF	None	0.853729196	0.8830707385	0.8943369262	0.9544552807989627	0.0388119002	0.0488461242	0.0471176518	0.14570782294939827
HepG2	TAF1	None	0.986033679	0.9877858688	0.988767402	0.9884319936421427	0.5628536055	0.58585271	0.5970603703	0.5891775067513059
HepG2	TCF12	None	0.977847001	0.976825683	0.979742224	0.9823679259652632	0.0672963554	0.0756261759	0.0876948977	0.125572264343022
HepG2	TEAD4	None	0.911202801	0.9181630611	0.9303326364	0.9498924744998535	0.1318960115	0.1611364597	0.1815966655	0.23362881017305004
HepG2	USF1	None	0.982911581	0.9838251012	0.9861459923	0.9882304628727063	0.3881287745	0.4287163717	0.4478367039	0.4839576715181608
HepG2	YY1	None	0.967588379	0.9728953179	0.9727784545	0.9801773083588287	0.4482513983	0.4723309152	0.4722563246	0.4960418619920412
HepG2	ZBTB33	None	0.954026245	0.9651302502	0.9661387087	0.9799486489167986	0.0790686198	0.1174764704	0.125552766	0.2779142384185728
HepG2	ZBTB7A	None	0.967724078	0.9738842641	0.971904114	0.9796983309891619	0.1376572052	0.1808411338	0.1639986248	0.18996692752746241
HUVEC	Pol2-4H8	None	0.918693054	0.9247237765	0.9273973263	0.9421074457828997	0.3771773874	0.3946793551	0.4033486662	0.4234910155268491
HUVEC	Pol2	None	0.926147666	0.931827469	0.9315142585	0.9406749341192036	0.4084871564	0.4306684059	0.4264381328	0.4363342475084108
K562	ATF3	None	0.966515758	0.9721638341	0.9730587549	0.9777169002432549	0.2484379299	0.2857303607	0.2748678079	0.3040954089798031
K562	BCL3	None	0.946783024	0.9554450659	0.9459470353	0.9562936901931699	0.0553591435	0.1088576622	0.1052386966	0.15380754450814457
K562	BCLAF1	None	0.951982546	0.959141183	0.9578337446	0.9567782540283697	0.1165703659	0.1640285273	0.1541963317	0.15456337107556795
K562	CBX3	None	0.867518233	0.884903249	0.8885686063	0.9055849490230882	0.1352866583	0.1621216082	0.173981456	0.19875892947296547
K562	CEBPB	None	0.945297111	0.9551490026	0.9572510168	0.9640519314612049	0.2332564112	0.2803514876	0.288073354	0.31774924114521064
K562	CTCF	None	0.983784131	0.985872524	0.987293719	0.9887399391582694	0.6036741685	0.6288561897	0.6390566875	0.6480790818859499
K562	CTCFL	None	0.989923324	0.9910625988	0.99129723	0.9919703423419924	0.286065903	0.3366369385	0.3419942188	0.3319706054445021
K562	E2F6	None	0.963235911	0.9671991791	0.9669198194	0.9700359894220296	0.3782305504	0.4041660108	0.3954799839	0.40204974516266256
K562	Egr-1	None	0.93145635	0.9367165694	0.9443809755	0.9745400442312524	0.2727619812	0.2930985012	0.3094456794	0.47124538657709547
K562	ELF1	None	0.958270991	0.9640659832	0.9660217553	0.9734728383040095	0.3942231784	0.4250538938	0.4269535615	0.46402950599087156
K562	ETS1	None	0.974433524	0.97967719	0.9794087519	0.9804699864569756	0.3349948468	0.392435143	0.3911718881	0.3932130397435405
K562	FOSL1	None	0.977913227	0.9800456704	0.9802582471	0.9824149190907909	0.3002657032	0.2978205212	0.2975684573	0.3166037327427712
K562	GABP	None	0.970624016	0.9756290883	0.9767580527	0.9799360544840066	0.4303230006	0.4910304276	0.4819384429	0.49594773548025795
K562	GATA2	None	0.958298093	0.9609016971	0.9641431613	0.9734762858590847	0.2556532661	0.2720793142	0.2954446842	0.32304686822107415
K562	HDAC2	None	0.946921693	0.9534719242	0.9521795671	0.9611297389284261	0.1008028612	0.1208685547	0.1217277902	0.15317100496329736
K562	Max	None	0.946450203	0.9540627812	0.9542279027	0.9583661490109825	0.442044106	0.4794807215	0.4799725743	0.4908574699769276
K562	MEF2A	None	0.916608232	0.9186269631	0.9442410221	0.9732851367929377	0.0486008006	0.0568499064	0.0788917835	0.1520829574468471
K562	NR2F2	None	0.920975477	0.921977789	0.9310641277	0.9454319691443481	0.170702367	0.1788581076	0.1977491139	0.23601684240016985
K562	NRSF	None	0.950617333	0.9362099268	0.946081271	0.9701573899971296	0.2874978746	0.2976296301	0.3102825777	0.4076140841719913
K562	PML	None	0.942659129	0.9482534278	0.9508857186	0.95470459839244	0.3120154544	0.3411815633	0.3538273612	0.3424649285802332
K562	Pol2-4H8	None	0.931789038	0.9394680345	0.9427374744	0.9464352105245184	0.3381259817	0.3724464404	0.3800195724	0.3751164255442808
K562	Pol2	None	0.951292087	0.9573202711	0.9566508143	0.9564014843479176	0.5694093985	0.5941370556	0.5923720289	0.5825159098409289
K562	PU.1	None	0.967879614	0.9695063651	0.9705452213	0.982816908912483	0.2723484948	0.2956476248	0.30876616	0.4108976531291061
K562	Rad21	None	0.987508717	0.9897809471	0.990494482	0.9917336428910882	0.5604969249	0.5879629984	0.6031421351	0.6081769174162391
K562	Sin3Ak-20	None	0.973752096	0.9752788312	0.9744663253	0.9740558156717847	0.286774099	0.3147911583	0.3197958986	0.3273561091989125
K562	SIX5	None	0.991661661	0.992597429	0.9927044313	0.9942606256848593	0.4014411066	0.5278058844	0.5178885508	0.5708696571535067
K562	SP1	None	0.972705412	0.9766417759	0.9754055002	0.9782580848591325	0.2705344424	0.3052179829	0.3057602634	0.314901863700404
K562	SP2	None	0.991181539	0.990315691	0.9887350186	0.9879171204516485	0.325415287	0.3979500619	0.3665750428	0.3850550341144619
K562	SRF	None	0.914001353	0.9274252752	0.9214355933	0.9641158173758319	0.0895806469	0.1140080435	0.110218537	0.17000203324683116
K562	STAT5A	None	0.948215404	0.9554148261	0.9618986289	0.9683782905385551	0.1697467004	0.2053742136	0.2352125441	0.26781940969488655
K562	TAF1	None	0.973415421	0.9760487589	0.9770781498	0.9786751249719738	0.4397489265	0.4773975598	0.4745565971	0.4673073179301916
K562	TAF7	None	0.890440546	0.9002221892	0.8967684085	0.9154397856331262	0.0646282247	0.0876667369	0.0898538039	0.08962940681850427
K562	TEAD4	None	0.922597989	0.9281418359	0.9352835744	0.9445756319099463	0.2557320977	0.2724623556	0.3005842979	0.33257060788435977
K562	THAP1	None	0.985768313	0.9870756199	0.9872178469	0.9872105859234542	0.1912092913	0.2038986038	0.2239311866	0.20375275824047304
K562	TRIM28	None	0.916828143	0.9255093875	0.931864418	0.9389696927549214	0.1365893287	0.1702169565	0.1924764785	0.21980323837039473
K562	USF1	None	0.974563686	0.9784236299	0.980118877	0.9841974381508111	0.3730212095	0.4043807529	0.410338512	0.4410453063708427
K562	YY1	None	0.983002327	0.9854776025	0.9856071218	0.9880726860971202	0.4249507699	0.4591471573	0.4500335383	0.47514335697355925
K562	YY1	None	0.957374991	0.9615162959	0.9618907144	0.9699032646470056	0.3688559756	0.3818059706	0.3833951744	0.4246276016417981
K562	ZBTB33	None	0.95579861	0.9655289978	0.965171869	0.9702452173710131	0.0635043277	0.1179764305	0.1382449256	0.26441674185091496
K562	ZBTB7A	None	0.970400592	0.9729512323	0.9725393711	0.9754923907874192	0.3732385345	0.4183472309	0.4070665878	0.42397800521589657
PANC-1	NRSF	None	0.975145248	0.9662209715	0.9706774866	0.9830852106021357	0.4055904944	0.4254288586	0.4336422232	0.5217196411690068
PANC-1	Pol2-4H8	None	0.928962738	0.9367444641	0.9400506563	0.9464504905137276	0.1695854082	0.1862793916	0.1884898743	0.18283210636700392
PANC-1	Sin3Ak-20	None	0.98032654	0.9828703892	0.9836137727	0.9839533425717941	0.1696981438	0.1797628867	0.18866366	0.18301510853264158
PFSK-1	FOXP2	None	0.962361693	0.9660926119	0.9685787597	0.9713238234162914	0.3299423229	0.3498613614	0.3634783447	0.35479646937078313
PFSK-1	NRSF	None	0.935109016	0.9084583717	0.9189211229	0.9664308222989075	0.352803205	0.3326201837	0.3530935108	0.49397182671814194
PFSK-1	Sin3Ak-20	None	0.93017281	0.9386223412	0.94050771	0.9445544462182082	0.0798899517	0.0937313141	0.0907111984	0.1155341535652248
PFSK-1	TAF1	None	0.922334826	0.932479034	0.9363289499	0.9430070631541745	0.21673075	0.2511980678	0.2535121772	0.24468015918133373
SK-N-MC	FOXP2	None	0.910221709	0.9229915871	0.9271757569	0.940821729880601	0.2324645568	0.2663238013	0.271994269	0.2953566895031735
SK-N-MC	Pol2-4H8	None	0.907063492	0.922659045	0.9277382769	0.9394092086397798	0.2609754838	0.3171721568	0.3212749626	0.35573800677205414
SK-N-SH	NRSF	None	0.957974346	0.9620247382	0.9646742073	0.9725546954946741	0.2922922953	0.3503163541	0.3581043185	0.3799388811265292
SK-N-SH	NRSF	None	0.959115812	0.9490695495	0.9563363723	0.9784388807058844	0.2844833024	0.3130052409	0.3202903988	0.3908895242617386
SK-N-SH	Pol2-4H8	None	0.901610066	0.9112461973	0.9169266514	0.929102718897294	0.3011309921	0.3228061757	0.3317004972	0.35260732240665815
SK-N-SH_RA	CTCF	None	0.991020275	0.9925112453	0.993109771	0.9939068703877639	0.6051194637	0.6567849142	0.6558767904	0.6746392365985222
